u,v,key,osmid,oneway,lanes,highway,maxspeed,reversed,length,geometry,ref,bridge,access,name,width,junction,tunnel,fid
25620747,25632422,0,"[856996058, 734630276, 734631501]",True,3,secondary,50,False,156.672,"LINESTRING (-8.6109422 41.1478426, -8.6109374 41.147861, -8.6108812 41.1480789, -8.6108186 41.1482966, -8.610699 41.1486454, -8.6106718 41.1487177, -8.6106307 41.148827, -8.6105476 41.1490134, -8.6104496 41.1491992)",,,,Avenida dos Aliados,,,,30
25620759,1676280555,0,8366889,True,2,residential,,False,102.71199999999999,"LINESTRING (-8.6121386 41.1488008, -8.6120186 41.1488771, -8.6113857 41.1493065, -8.6112234 41.1494158)",,,,Rua de Ramalho Ortigão,4,,,31
25620947,25620948,0,174689857,True,,residential,,False,107.291,"LINESTRING (-8.6121861 41.1471763, -8.6122153 41.1471899, -8.6133682 41.1475478)",,,,Rua da Fábrica,,,,32
25620948,1386051854,0,8366901,True,,residential,,False,84.355,"LINESTRING (-8.6133682 41.1475478, -8.6131662 41.1479536, -8.6131551 41.1480043, -8.6131406 41.1481507, -8.613128 41.1482774)",,,,Rua de Avis,4,,,33
25632226,25632227,0,"[1172502990, 595164143]",True,2,tertiary,,False,108.856,"LINESTRING (-8.6210997 41.1507093, -8.6212407 41.1514693, -8.6212608 41.1515703, -8.6212767 41.1516791)",,,,Rua do Rosário,,,,34
25632226,25632228,0,1172502992,True,,residential,,False,172.488,"LINESTRING (-8.6210997 41.1507093, -8.6211844 41.1506908, -8.6230542 41.1502192)",,,,Rua do Breiner,4,,,35
25632227,25632361,0,8367073,False,2,tertiary,,False,113.20699999999998,"LINESTRING (-8.6212767 41.1516791, -8.6207584 41.1525043, -8.6207521 41.1525281, -8.6207489 41.1525519, -8.6207549 41.1526088)",,,,Rua da Boa Hora,,,,36
25632227,25632231,0,726827145,True,,residential,,False,192.009,"LINESTRING (-8.6212767 41.1516791, -8.6213788 41.1516198, -8.6231422 41.1506749)",,,,Rua da Maternidade,,,,37
25632228,25632229,0,128823189,True,,residential,,False,95.325,"LINESTRING (-8.6230542 41.1502192, -8.6229257 41.1493674)",,,,Rua Adolfo Casais Monteiro,,,,38
25632228,1422563112,0,"[1232231579, 933397357]",True,,residential,,False,74.55,"LINESTRING (-8.6230542 41.1502192, -8.6233771 41.1501535, -8.6237067 41.1500785, -8.6237633 41.1500675, -8.6238199 41.1500646, -8.6238659 41.1500779, -8.6239048 41.1500979)",,,,Largo da Maternidade de Júlio Dinis,4,,,39
25632229,25632230,0,1032038604,True,1,residential,,False,174.403,"LINESTRING (-8.6229257 41.1493674, -8.6208752 41.1496431)",,,,Rua de Miguel Bombarda,,,,40
25632229,25632362,0,128823189,True,,residential,,False,178.87300000000002,"LINESTRING (-8.6229257 41.1493674, -8.622676 41.1478461, -8.6226637 41.1477709)",,,,Rua Adolfo Casais Monteiro,,,,41
25632230,25632226,0,595164143,True,,tertiary,,False,120.037,"LINESTRING (-8.6208752 41.1496431, -8.6209479 41.1499897, -8.6210838 41.1506352, -8.6210997 41.1507093)",,,,Rua do Rosário,,,,42
25632230,2414401915,0,1206667334,False,,tertiary,,False,105.069,"LINESTRING (-8.6208752 41.1496431, -8.6208623 41.14958, -8.6206842 41.1487092)",,,,Rua do Rosário,,,,43
25632231,25632228,0,933397358,True,,residential,,False,51.204,"LINESTRING (-8.6231422 41.1506749, -8.6230542 41.1502192)",,,,Largo da Maternidade de Júlio Dinis,4,,,44
25632231,2250887839,0,1232231580,False,2,residential,,True,31.573,"LINESTRING (-8.6231422 41.1506749, -8.6234539 41.1505151)",,,,Largo da Maternidade de Júlio Dinis,4,,,45
25632278,25632279,0,59525260,True,,residential,,False,29.581,"LINESTRING (-8.6180691 41.1524856, -8.6179509 41.1522349)",,,,Rua de Cedofeita,4,,,46
25632278,25632292,0,8367070,False,2,residential,,True,377.18399999999997,"LINESTRING (-8.6180691 41.1524856, -8.6169171 41.1525907, -8.6157974 41.152686, -8.6157255 41.1526925, -8.6157063 41.1526941, -8.6136433 41.1528699, -8.6135935 41.1528719)",,,,Rua dos Bragas,4,,,47
25632279,25632226,0,"[8367058, 59525260, 1172502991]",True,2,residential,,False,385.203,"LINESTRING (-8.6179509 41.1522349, -8.6176123 41.1515884, -8.6185977 41.1513402, -8.6187819 41.1512932, -8.6206949 41.1508049, -8.6209805 41.1507387, -8.6210997 41.1507093)",,,,"['Rua do Breiner', 'Rua de Cedofeita']",4,,,48
25632284,25632285,0,8367069,True,2,secondary,,False,480.51900000000006,"LINESTRING (-8.6188807 41.1551988, -8.6188106 41.1551843, -8.6166796 41.1547905, -8.6152379 41.154528, -8.614016 41.1543025, -8.6134429 41.1541917, -8.6133083 41.1541642)",,,,Rua Álvares Cabral,4,,,49
25632284,5284385982,0,8367072,True,,residential,30,False,23.911,"LINESTRING (-8.6188807 41.1551988, -8.6189002 41.155124, -8.6189758 41.1549974)",,,,Rua de Cedofeita,4,,,50
25632285,25632293,0,734630278,True,4,secondary,,False,48.62899999999999,"LINESTRING (-8.6133083 41.1541642, -8.6133246 41.1538652, -8.6133163 41.1538177, -8.6133019 41.1537926, -8.6132822 41.1537694, -8.6132505 41.1537434)",,,,Praça da República,,,,51
25632292,25632278,0,8367070,False,2,residential,,False,377.18399999999997,"LINESTRING (-8.6135935 41.1528719, -8.6136433 41.1528699, -8.6157063 41.1526941, -8.6157255 41.1526925, -8.6157974 41.152686, -8.6169171 41.1525907, -8.6180691 41.1524856)",,,,Rua dos Bragas,4,,,52
25632292,25632293,0,"[128825641, 1165481149]",True,2,residential,,False,105.217,"LINESTRING (-8.6135935 41.1528719, -8.6134931 41.1533425, -8.6134258 41.1536347, -8.6133572 41.1536944, -8.6132505 41.1537434)",,,,Rua dos Mártires da Liberdade,4,,,53
25632293,1110698273,0,8367068,True,2,secondary,,False,106.56599999999999,"LINESTRING (-8.6132505 41.1537434, -8.6131748 41.1537511, -8.6130858 41.1537499, -8.6126871 41.1537496, -8.6126091 41.1537496, -8.6122168 41.1537426, -8.6121716 41.1537482, -8.6121269 41.1537604, -8.6121117 41.1537666, -8.6120991 41.1537717, -8.6120711 41.153789, -8.6120549 41.1538039, -8.6120253 41.1538357)",,,,Praça da República,,,,54
25632293,25620653,0,"[643196090, 498298756]",True,3,secondary,,False,110.23599999999999,"LINESTRING (-8.6132505 41.1537434, -8.6132205 41.1537042, -8.6132 41.1536912, -8.613165 41.1536741, -8.6131327 41.1536626, -8.6130889 41.1536532, -8.6130433 41.153649, -8.6121499 41.153643, -8.6120732 41.1536293, -8.6119957 41.153597)",,,,Praça da República,,,,55
25632361,25632227,0,8367073,False,2,tertiary,,True,113.207,"LINESTRING (-8.6207549 41.1526088, -8.6207489 41.1525519, -8.6207521 41.1525281, -8.6207584 41.1525043, -8.6212767 41.1516791)",,,,Rua da Boa Hora,,,,56
25632361,4612022469,0,34683151,False,2,tertiary,,False,249.65500000000003,"LINESTRING (-8.6207549 41.1526088, -8.6208223 41.152769, -8.6209837 41.1532264, -8.6210121 41.1533068, -8.6210314 41.1533685, -8.6210417 41.1534427, -8.6210452 41.1535866, -8.6209435 41.154823)",,,,Rua de Aníbal Cunha,,,,57
